"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"02/07/2026";"1800";"32,7";"32,8";"32,3";"57,0";"59,0";"54,0";"23,0";"23,4";"21,9";"999,8";"1000,5";"999,8";"2,4";"";"7,2";"2650,80";"0,0"
"02/07/2026";"1900";"32,4";"32,9";"32,3";"56,0";"59,0";"54,0";"22,6";"23,7";"22,3";"999,4";"999,9";"999,4";"1,1";"";"5,7";"2001,30";"0,0"
"02/07/2026";"2000";"32,3";"32,6";"32,0";"59,0";"62,0";"55,0";"23,4";"24,2";"22,2";"999,6";"999,6";"999,4";"0,4";"";"4,8";"1224,50";"0,0"
"02/07/2026";"2100";"29,8";"32,3";"29,8";"73,0";"73,0";"59,0";"24,4";"24,5";"23,1";"1000,1";"1000,1";"999,6";"0,0";"";"3,3";"330,40";"0,0"
"02/07/2026";"2200";"27,8";"29,8";"27,8";"82,0";"82,0";"73,0";"24,4";"24,7";"24,1";"1000,5";"1000,5";"1000,1";"0,1";"";"1,9";"4,80";"0,0"
"02/07/2026";"2300";"27,1";"27,8";"27,1";"84,0";"85,0";"80,0";"24,2";"24,5";"23,8";"1001,3";"1001,3";"1000,5";"0,0";"";"1,9";"";"0,0"
"03/07/2026";"0000";"26,7";"27,1";"26,7";"87,0";"88,0";"84,0";"24,4";"24,5";"23,9";"1001,6";"1001,6";"1001,2";"0,0";"";"1,6";"";"0,0"
"03/07/2026";"0100";"26,0";"26,7";"26,0";"90,0";"91,0";"87,0";"24,2";"24,4";"24,1";"1001,9";"1002,0";"1001,5";"0,0";"";"1,5";"";"0,0"
"03/07/2026";"0200";"25,3";"26,0";"25,2";"96,0";"96,0";"90,0";"24,5";"25,0";"24,3";"1002,1";"1002,1";"1001,9";"0,0";"";"1,0";"";"0,0"
"03/07/2026";"0300";"24,9";"25,3";"24,9";"97,0";"98,0";"96,0";"24,4";"24,8";"24,3";"1001,9";"1002,2";"1001,9";"0,0";"";"1,7";"";"0,0"
"03/07/2026";"0400";"24,1";"24,9";"24,1";"99,0";"99,0";"96,0";"23,9";"24,5";"23,8";"1001,4";"1001,9";"1001,4";"0,1";"";"1,7";"";"0,0"
"03/07/2026";"0500";"23,9";"24,2";"23,9";"100,0";"100,0";"97,0";"23,9";"24,0";"23,6";"1000,8";"1001,4";"1000,8";"0,0";"";"1,7";"";"0,0"
